role,email,password
student,adiallo@ciu.edu.tr,adiallo
student,adiop@ciu.edu.tr,adiop
student,ahassan@ciu.edu.tr,ahassan
student,ahawthorne@ciu.edu.tr,ahawthorne
student,asouthgate@ciu.edu.tr,asouthgate
student,asuleiman@ciu.edu.tr,asuleiman
student,aweatherby@ciu.edu.tr,aweatherby
student,bglasgow@ciu.edu.tr,bglasgow
student,bgrantham@ciu.edu.tr,bgrantham
student,bkingsley@ciu.edu.tr,bkingsley
student,bokeke@ciu.edu.tr,bokeke
student,cmarston@ciu.edu.tr,cmarston
student,cmendez@ciu.edu.tr,cmendez
student,cmerrick@ciu.edu.tr,cmerrick
student,cmorrison@ciu.edu.tr,cmorrison
student,cobi@ciu.edu.tr,cobi
student,dmensah@ciu.edu.tr,dmensah
student,dsherwood@ciu.edu.tr,dsherwood
student,dwhitaker@ciu.edu.tr,dwhitaker
student,dwinchester@ciu.edu.tr,dwinchester
student,eblackburn@ciu.edu.tr,eblackburn
student,ecaldwell@ciu.edu.tr,ecaldwell
student,edunford@ciu.edu.tr,edunford
student,eeze@ciu.edu.tr,eeze
student,falzahra@ciu.edu.tr,falzahra
student,fcarlton@ciu.edu.tr,fcarlton
student,frivers@ciu.edu.tr,frivers
student,fwellington@ciu.edu.tr,fwellington
student,ghillcrest@ciu.edu.tr,ghillcrest
student,gnorwood@ciu.edu.tr,gnorwood
student,gsinclair@ciu.edu.tr,gsinclair
student,hali@ciu.edu.tr,hali
student,hmonroe@ciu.edu.tr,hmonroe
student,hmoradi@ciu.edu.tr,hmoradi
student,hnorthwood@ciu.edu.tr,hnorthwood
student,hwestfield@ciu.edu.tr,hwestfield
student,ibradford@ciu.edu.tr,ibradford
student,ibriarwood@ciu.edu.tr,ibriarwood
student,imidsummer@ciu.edu.tr,imidsummer
student,imusa@ciu.edu.tr,imusa
student,jchambers@ciu.edu.tr,jchambers
student,jwilloughby@ciu.edu.tr,jwilloughby
student,jwinslow@ciu.edu.tr,jwinslow
student,kabernathy@ciu.edu.tr,kabernathy
student,kasante@ciu.edu.tr,kasante
student,kellsworth@ciu.edu.tr,kellsworth
student,krutherford@ciu.edu.tr,krutherford
student,ktanaka@ciu.edu.tr,ktanaka
student,lcrosby@ciu.edu.tr,lcrosby
student,lferreira@ciu.edu.tr,lferreira
student,lhighland@ciu.edu.tr,lhighland
student,lkarimi@ciu.edu.tr,lkarimi
student,lmuller@ciu.edu.tr,lmuller
student,lsutherland@ciu.edu.tr,lsutherland
student,mbroadwell@ciu.edu.tr,mbroadwell
student,mpennington@ciu.edu.tr,mpennington
student,msantos@ciu.edu.tr,msantos
student,mwinthrop@ciu.edu.tr,mwinthrop
student,nbello@ciu.edu.tr,nbello
student,nharrington@ciu.edu.tr,nharrington
student,nharwood@ciu.edu.tr,nharwood
student,nwhitfield@ciu.edu.tr,nwhitfield
student,obroadmoor@ciu.edu.tr,obroadmoor
student,ofarouk@ciu.edu.tr,ofarouk
student,ostanford@ciu.edu.tr,ostanford
student,ostirling@ciu.edu.tr,ostirling
student,peldridge@ciu.edu.tr,peldridge
student,pglenwood@ciu.edu.tr,pglenwood
student,pkapuya@ciu.edu.tr,pkapuya
student,pkensington@ciu.edu.tr,pkensington
student,psharma@ciu.edu.tr,psharma
student,qlangford@ciu.edu.tr,qlangford
student,rblackwood@ciu.edu.tr,rblackwood
student,rfairchild@ciu.edu.tr,rfairchild
student,rkhalil@ciu.edu.tr,rkhalil
student,rsilverton@ciu.edu.tr,rsilverton
student,sandrade@ciu.edu.tr,sandrade
student,seaston@ciu.edu.tr,seaston
student,skirkland@ciu.edu.tr,skirkland
student,sthornhill@ciu.edu.tr,sthornhill
student,syilmaz@ciu.edu.tr,syilmaz
student,tadesanya@ciu.edu.tr,tadesanya
student,tashby@ciu.edu.tr,tashby
student,tgreenwood@ciu.edu.tr,tgreenwood
student,tredford@ciu.edu.tr,tredford
student,uhawkins@ciu.edu.tr,uhawkins
student,unewfield@ciu.edu.tr,unewfield
student,vfleetwood@ciu.edu.tr,vfleetwood
student,vlockhart@ciu.edu.tr,vlockhart
student,whartwell@ciu.edu.tr,whartwell
student,wtempleton@ciu.edu.tr,wtempleton
student,xashford@ciu.edu.tr,xashford
student,xbramwell@ciu.edu.tr,xbramwell
student,ychelmsford@ciu.edu.tr,ychelmsford
student,yoakley@ciu.edu.tr,yoakley
student,yokonkwo@ciu.edu.tr,yokonkwo
student,yrashid@ciu.edu.tr,yrashid
student,zahmed@ciu.edu.tr,zahmed
student,zfoxworth@ciu.edu.tr,zfoxworth
student,zpemberton@ciu.edu.tr,zpemberton
instructor,aali@ciu.edu.tr,aali
instructor,ababalola@ciu.edu.tr,ababalola
instructor,ademir@ciu.edu.tr,ademir
instructor,aesmaili@ciu.edu.tr,aesmaili
instructor,akaya@ciu.edu.tr,akaya
instructor,akhoja@ciu.edu.tr,akhoja
instructor,aozkan@ciu.edu.tr,aozkan
instructor,asahin@ciu.edu.tr,asahin
instructor,atugay@ciu.edu.tr,atugay
instructor,ayurtkan@ciu.edu.tr,ayurtkan
instructor,ddeniz@ciu.edu.tr,ddeniz
instructor,fbabalola@ciu.edu.tr,fbabalola
instructor,fozkan@ciu.edu.tr,fozkan
instructor,hnadiri@ciu.edu.tr,hnadiri
instructor,kyurtkan@ciu.edu.tr,kyurtkan
instructor,lkaya@ciu.edu.tr,lkaya
instructor,mdemir@ciu.edu.tr,mdemir
instructor,mdirekoğlu@ciu.edu.tr,mdirekoğlu
instructor,mkusaf@ciu.edu.tr,mkusaf
instructor,oyilmaz@ciu.edu.tr,oyilmaz
